candidate,family,fold,repeat,split,validation_samples,validation_fail,selected_features,removed_high_missing,removed_uninformative,removed_duplicate,threshold,pr_auc_average_precision,fail_recall,precision,f1,balanced_accuracy,false_alarm_rate,accuracy,tn,fp,fn,tp
l1_logistic_c_0.1,logistic,17,3,2,235,16,444,24,122,0,0.5,0.19729782818857572,0.375,0.14634146341463414,0.21052631578947367,0.6075913242009132,0.1598173515981735,0.8085106382978723,184,35,10,6
l1_logistic_c_0.1,logistic,18,3,3,235,16,444,24,122,0,0.5,0.14722152466197283,0.3125,0.15625,0.20833333333333334,0.5946061643835616,0.1232876712328767,0.8382978723404255,192,27,11,5
l1_logistic_c_0.1,logistic,19,3,4,235,16,444,24,122,0,0.5,0.19920816090779983,0.5625,0.19148936170212766,0.2857142857142857,0.69449200913242,0.1735159817351598,0.8085106382978723,181,38,7,9
l1_logistic_c_0.1,logistic,20,4,0,235,16,444,24,122,0,0.5,0.13168700327127067,0.3125,0.12195121951219512,0.17543859649122806,0.5740582191780822,0.1643835616438356,0.8,183,36,11,5
l1_logistic_c_0.1,logistic,21,4,1,235,16,444,24,122,0,0.5,0.18381957539070165,0.4375,0.14,0.21212121212121213,0.6205764840182648,0.1963470319634703,0.7787234042553192,176,43,9,7
l1_logistic_c_0.1,logistic,22,4,2,235,16,444,24,122,0,0.5,0.15453125300046358,0.375,0.13953488372093023,0.2033898305084746,0.6030251141552512,0.1689497716894977,0.8,182,37,10,6
l1_logistic_c_0.1,logistic,23,4,3,235,16,444,24,122,0,0.5,0.14105700759110645,0.4375,0.14583333333333334,0.21875,0.6251426940639269,0.1872146118721461,0.7872340425531915,178,41,9,7
l1_logistic_c_0.1,logistic,24,4,4,235,16,444,24,122,0,0.5,0.1574625090063675,0.375,0.13636363636363635,0.2,0.60074200913242,0.1735159817351598,0.7957446808510639,181,38,10,6
l1_logistic_c_1,logistic,0,0,0,235,16,444,24,122,0,0.5,0.11689247248501128,0.0625,0.07142857142857142,0.06666666666666667,0.5015696347031964,0.0593607305936073,0.8808510638297873,206,13,15,1
l1_logistic_c_1,logistic,1,0,1,235,16,444,24,122,0,0.5,0.07308402419029375,0.0625,0.02631578947368421,0.037037037037037035,0.4467751141552511,0.1689497716894977,0.7787234042553192,182,37,15,1
